term_en,short_form,definition,notes,term_zh,term_ja
pulse extender,,红石通用组件：将短脉冲延长为长脉冲,来源：uVOFckoMdIU 视频 00:24:34；2026-08-12 用户确认,脉冲延长器,
burnout clock,,基于红石中继器烧毁（burnout）机制的时钟,[红石] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c733；2026-08-13 用户确认,烧毁时钟,
comparator subtractions,,用比较器对信号强度做减法运算,来源：uVOFckoMdIU 视频 00:22:52；2026-08-14 用户确认,比较器减法,
instant dropper line,,可即时传输信号的投掷器链,来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 00:22:59；2026-08-13 用户确认,即时投掷器线,
cooldown clock,,控制潜影贝复制冷却的红石时钟（4 比较器结构）,来源：uVOFckoMdIU 视频 00:07:49；2026-08-12 用户确认,冷却时钟,
block streams,,被活塞推动的方块队列,来源：uVOFckoMdIU 视频 00:19:49；2026-08-14 用户确认,方块流,
burnout,,红石火把在 60 游戏刻内改变状态超过 8 次后停止工作的机制,[通用] 来源：zh wiki「红石火把」烧毁小节 + 游戏内置字幕键「红石火把烧毁」（社区另作「燃尽」）；2026-09-16 用户确认,烧毁,
one way signal,,红石粉向上可穿过红石导体、向下不可，据此实现的单向信号传输,[推断：视频上下文 + zh wiki 红石粉传播规则]；2026-09-16 用户确认,单向信号,
conductive block,,能接受充能并向相邻红石元件供能的方块；非红石导体则不能,来源：knowledge/02_mechanic/power-vs-charge.md + zh wiki（术语表把 Conductive Block 列为「红石导体」别名）；2026-09-16 用户确认,红石导体,
block update,,方块状态变化时向相邻方块发出的更新（烧毁后的红石火把需收到一次更新才恢复）,来源：zh wiki；2026-09-16 用户确认,方块更新,
bleed over,,比较器输出越过阈值后外溢到相邻单元、致其误动作（AB 堆叠需规避）,四级查找未命中；对照 knowledge/01_terminology/storage.csv Container Threshold 描述“单片间信号溢出”,信号溢出,
neighbour change update;NC update,NC,方块更新的别名（邻接变化更新）,来源：PRR3 — Minecraft's Observers are More Powerful Than You Think（xh511sviyXc） 00:01:50；用户裁定缩写译法,NC 更新,
state update detector;SUD,SUD,观察者实际检测的更新类型：相邻方块的方块状态变化（与 BUD 对应）,来源：PRR3 — Minecraft's Observers are More Powerful Than You Think（xh511sviyXc） 00:03:42,状态更新检测器,
odd gametick delay,,奇数游戏刻延迟；常规元件延迟均为偶数刻，借助脚手架/树叶可做出奇数刻延迟,来源：PRR3 — Minecraft's Observers are More Powerful Than You Think（xh511sviyXc） 00:05:24,奇数游戏刻延迟,
provide power,,红石元件向外输出信号的动作,用户裁定（2026-09-17）：元件输出语境作「输出能量」以区别 wiki Powering（供能）；其余 power 处仍作「供能」；视频 LyU6a4PuDjo,输出能量,
receive power,,红石元件从输入端接收信号的动作,用户裁定（2026-09-17）：与 provide power 成对，元件输入语境作「接收能量」；视频 LyU6a4PuDjo,接收能量,
updater block,,放置后向相邻红石粉发送方块更新、解除 BUD 停滞的方块,来源：视频 〈Minecraft's Pistons are probably The BEST Addition To The Game | PRR 4〉（f7N4bmqWUco） 00:07:54,更新方块,
zero tick;zero ticks,,零刻（0-tick）机制：使方块在 1 游戏刻内完成推动的活塞特性,来源：用户裁定（社区更常用 0t）；视频 〈Minecraft's Pistons are probably The BEST Addition To The Game | PRR 4〉（f7N4bmqWUco） 00:12:28,0t,
player input bug,,玩家直接激活活塞时看似延迟 1 游戏刻的现象,来源：_repos/TechMCDocs/GameTick/TileTicks.md；视频 〈Minecraft's Pistons are probably The BEST Addition To The Game | PRR 4〉（f7N4bmqWUco） 00:14:45,玩家输入漏洞,
input bug,,player input bug 的简称,来源：_repos/TechMCDocs/GameTick/TileTicks.md；视频 〈Minecraft's Pistons are probably The BEST Addition To The Game | PRR 4〉（f7N4bmqWUco） 00:12:24,输入漏洞,
container block,,可存放物品的容器类方块（箱子、木桶、潜影盒等），投掷器可向其内插入物品,来源：视频上下文 [推断]；视频 ZXGpmaIcMMo（A Closer Look at Minecraft's Storage Blocks - PRR 5） 00:01:19,容器方块,
container entity,,带容器功能的实体（运输船、运输矿车、漏斗矿车等），投掷器/漏斗可与之交互,来源：视频上下文 [推断]；视频 ZXGpmaIcMMo（A Closer Look at Minecraft's Storage Blocks - PRR 5） 00:01:21,容器实体,
randomizer,,利用投掷器随机选槽（概率 1/N）实现随机输出的简单装置,来源：视频上下文 [推断]；视频 ZXGpmaIcMMo（A Closer Look at Minecraft's Storage Blocks - PRR 5） 00:02:42,随机发生器,
redstoneless,,形容装置完全不使用红石元件,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:03:50；2026-09-21 用户确认；项目 `-less`→「无X」惯例（storage 无粉 / slimestone 无黏液）,无红石的,
